City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
klaksvik,FO,-6.589,62.2266,24.8,24.8,86,20,1.14
vostok,RU,135.8833,46.4856,15.57,15.57,92,3,2.82
cayenne,GF,-52.3333,4.9333,75.2,75.2,100,90,2.3
severo-kurilsk,RU,156.125,50.6789,27.75,27.75,92,100,20.31
yellowknife,CA,-114.3525,62.456,-11.2,-11.2,77,20,4.61
ushuaia,AR,-68.3,-54.8,68.0,68.0,42,40,10.36
mabaruma,GY,-59.7833,8.2,71.96,71.96,90,13,3.62
saint-philippe,RE,55.7679,-21.3585,72.19,77.0,69,40,4.61
castro,BR,-50.0119,-24.7911,60.49,60.49,98,100,7.45
vuktyl,RU,57.3094,63.8567,-21.33,-21.33,87,100,4.32
askino,RU,56.5783,56.0901,-9.81,-9.81,85,69,7.85
san rafael,AR,-68.3301,-34.6177,71.85,71.85,43,5,6.98
east london,ZA,27.9116,-33.0153,73.9,73.9,89,2,9.95
butaritari,KI,172.7902,3.0707,81.7,81.7,76,100,14.72
mackenzie,CA,-123.1698,55.2999,-11.2,-11.2,58,1,6.91
victoria,HK,114.1577,22.2855,61.18,64.0,82,0,1.99
atuona,PF,-139.0333,-9.8,78.71,78.71,80,2,17.25
northam,GB,-4.2167,51.0333,27.99,28.99,79,100,5.01
hermanus,ZA,19.2345,-34.4187,69.01,69.01,85,0,5.01
mataura,NZ,168.8643,-46.1927,50.25,50.25,87,100,13.06
port elizabeth,ZA,25.5701,-33.918,73.4,73.4,94,90,2.3
tabas,IR,56.9244,33.5959,50.0,50.0,29,99,4.61
faanui,PF,-151.75,-16.4833,82.11,82.11,69,0,17.36
rikitea,PF,-134.9692,-23.1203,78.6,78.6,78,3,14.2
barrow,US,-156.7887,71.2906,-36.4,-36.4,85,1,9.22
jamestown,US,-79.2353,42.097,17.56,19.0,86,90,5.75
rangpur,BD,89.25,25.75,66.31,66.31,43,0,0.76
vila velha,BR,-40.2925,-20.3297,78.28,82.0,88,40,4.61
yar-sale,RU,70.8333,66.8333,-22.09,-22.09,85,95,14.25
albany,US,-73.9662,42.6001,19.89,23.0,47,100,1.01
qaanaaq,GL,-69.3632,77.484,10.18,10.18,75,98,9.71
tuktoyaktuk,CA,-133.0374,69.4541,-23.8,-23.8,69,20,18.41
bethel,US,-73.414,41.3712,22.89,24.01,79,90,1.3
ko samui,TH,99.9357,9.5357,82.4,82.4,78,20,6.91
martaban,MM,97.6111,16.5314,74.12,74.12,45,0,6.06
svetlogorsk,BY,29.7333,52.6333,6.66,6.66,95,100,5.32
morros,BR,-46.3003,-9.4467,72.91,72.91,87,98,2.93
lar,IN,83.9717,26.2039,57.6,57.6,74,0,1.95
kjollefjord,NO,27.3465,70.9457,21.07,21.07,88,100,2.26
dikson,RU,80.5464,73.5069,-22.18,-22.18,87,2,6.55
humaita,BR,-63.0208,-7.5061,74.28,74.28,98,100,3.09
aklavik,CA,-135.0107,68.2191,-25.6,-25.6,75,0,3.44
mehamn,NO,27.8492,71.0357,20.91,20.91,87,100,1.52
vaini,TO,-175.2,-21.2,86.0,86.0,74,40,11.5
iqaluit,CA,-68.5145,63.7506,3.09,3.2,78,20,4.61
fortuna,US,-124.1573,40.5982,49.95,51.01,81,1,10.36
roebourne,AU,117.1333,-20.7833,92.75,92.75,47,0,14.56
kiunga,PG,141.2906,-6.1219,86.34,86.34,77,66,3.67
ribeira grande,PT,-28.7,38.5167,58.91,58.91,67,40,34.43
chokurdakh,RU,147.9167,70.6333,-11.6,-11.6,89,44,6.42
hilo,US,-155.09,19.7297,73.29,80.6,50,40,12.66
santiago,CL,-70.6483,-33.4569,72.21,75.0,68,0,14.97
hithadhoo,MV,73.0833,-0.6,81.43,81.43,80,42,13.8
dali,CN,100.1833,25.7,50.74,50.74,58,1,3.06
khatanga,RU,102.5,71.9667,-21.86,-21.86,83,2,4.25
bonthe,SL,-12.505,7.5264,77.32,77.32,89,5,4.54
grootfontein,NA,18.1167,-19.5667,62.46,62.46,96,100,9.75
lebu,CL,-73.65,-37.6167,59.58,59.58,94,2,9.1
narsaq,GL,-46.05,60.9167,33.8,33.8,25,20,33.38
hobart,AU,147.3294,-42.8794,73.15,75.0,40,0,4.61
emba,KZ,58.1442,48.8264,22.37,22.37,97,100,11.48
chapais,CA,-74.8492,49.7834,-11.2,-11.2,84,1,2.51
tiksi,RU,128.8694,71.6872,-11.78,-11.78,89,37,4.59
san quintin,MX,-115.95,30.4833,56.39,56.39,77,1,13.42
chitral,PK,71.7858,35.8462,37.42,37.42,52,0,7.9
lloydminster,CA,-110.0016,53.2835,-22.0,-22.0,63,20,8.05
thompson,CA,-97.8558,55.7435,-23.8,-23.8,76,40,6.91
sao joao da barra,BR,-41.0511,-21.6403,75.13,75.13,88,99,3.78
busselton,AU,115.3333,-33.65,63.84,64.99,67,81,3.0
aksay,RU,39.87,47.26,44.26,44.6,100,90,8.95
cape town,ZA,18.4232,-33.9258,67.15,68.0,88,0,11.5
constitucion,CL,-72.4167,-35.3333,61.63,61.63,91,79,1.72
mezen,RU,44.24,65.8522,-10.93,-10.93,90,69,5.53
khandyga,RU,135.6,62.6667,0.9,0.9,90,100,0.34
oriximina,BR,-55.8661,-1.7656,74.77,74.77,91,97,2.08
matsuura,JP,129.721,33.3271,51.58,55.99,71,0,2.3
churapcha,RU,132.4325,62.0025,-4.92,-4.92,90,95,7.43
kang,BW,22.7876,-23.6752,69.24,69.24,73,100,5.55
nikolskoye,RU,30.7861,59.7035,4.55,7.0,85,20,4.0
tabou,CI,-7.3528,4.423,78.08,78.08,89,0,6.26
lagoa,PT,-27.9833,39.05,56.53,56.53,69,40,38.32
southbridge,US,-72.0334,42.0751,15.96,19.0,48,64,3.0
lata,PT,-8.3327,40.1629,56.68,57.99,100,100,5.01
kangaatsiaq,GL,-53.4641,68.3065,12.69,12.69,95,28,6.17
naze,JP,129.4833,28.3667,60.8,60.8,88,75,12.66
dapaong,TG,0.205,10.8639,72.41,72.41,19,16,5.44
geraldton,AU,114.6,-28.7667,75.2,75.2,38,0,19.57
komsomolskiy,UZ,71.7189,40.4272,41.0,41.0,81,54,2.3
radzyn podlaski,PL,22.6167,51.7833,19.4,21.2,86,40,6.91
samarai,PG,150.6667,-10.6167,86.36,86.36,65,65,8.61
kieta,PG,155.6333,-6.2167,84.0,84.0,75,91,7.99
osa,RU,55.4567,57.2829,-11.18,-11.18,86,71,3.04
talnakh,RU,88.3972,69.4865,-16.24,-16.24,80,0,2.93
kapaa,US,-159.319,22.0752,73.4,75.2,53,40,10.36
pundaguitan,PH,126.1689,6.3711,81.48,81.48,82,99,9.73
cabo san lucas,MX,-109.9124,22.8909,66.97,68.0,68,1,17.27
puerto ayora,EC,-90.3518,-0.7393,75.0,75.0,98,82,5.75
avarua,CK,-159.775,-21.2078,86.0,86.0,70,100,5.75
marietta,US,-84.5499,33.9526,57.02,60.8,77,75,3.44
new norfolk,AU,147.0587,-42.7826,73.71,75.0,32,93,1.01
nombre de jesus,HN,-86.6833,15.35,75.2,75.2,88,20,3.44
lasa,IT,10.7002,46.6166,31.44,33.01,86,75,8.05
bluff,NZ,168.3333,-46.6,52.93,52.93,87,100,29.37
abu samrah,SY,37.1841,35.3029,49.51,49.51,87,0,5.86
esso,RU,158.7,55.9333,21.69,21.69,90,91,3.47
nizhniy kuranakh,RU,125.4869,58.8353,6.57,6.57,93,100,1.14
wajir,KE,40.0573,1.7471,73.89,73.89,73,100,10.09
xai-xai,MZ,33.6442,-25.0519,77.32,77.32,81,6,10.69
sao filipe,CV,-24.4956,14.8961,71.69,71.69,68,23,7.61
hami,CN,93.45,42.8,30.38,30.38,80,52,8.61
